first_name,last_name,age,phone_number,set_id,theme,subtheme,year,name,pieces,us_price,image_url,quantity,theme_id
Kimberly,Beckstead,24,216-555-2549,76062,DC Comics Super Heroes,Mighty Micros,2018,Robin vs. Bane,77,9.99,http://images.brickset.com/sets/images/76062-1.jpg,1,482
Neel,Garvin,35,819-555-3189,70595,Ninjago,Rise of the Villains,2018,Ultra Stealth Raider,1093,119.99,http://images.brickset.com/sets/images/70595-1.jpg,1,435
Neel,Garvin,35,819-555-3189,21031,Architecture,NA,2018,Burj Khalifa,333,39.99,http://images.brickset.com/sets/images/21031-1.jpg,1,252
Chelsea,Bouchard,41,NA,31048,Creator,NA,2018,Lakeside Lodge,368,29.99,http://images.brickset.com/sets/images/31048-1.jpg,1,22
Chelsea,Bouchard,41,NA,70595,Ninjago,Rise of the Villains,2018,Ultra Stealth Raider,1093,119.99,http://images.brickset.com/sets/images/70595-1.jpg,1,435
Chelsea,Bouchard,41,NA,10831,Duplo,NA,2018,My First Caterpillar,19,9.99,http://images.brickset.com/sets/images/10831-1.jpg,1,504
Bryanna,Welsh,19,NA,75138,Star Wars,Episode V,2018,Hoth Attack,233,24.99,http://images.brickset.com/sets/images/75138-1.jpg,1,169
Bryanna,Welsh,19,NA,76062,DC Comics Super Heroes,Mighty Micros,2018,Robin vs. Bane,77,9.99,http://images.brickset.com/sets/images/76062-1.jpg,3,482
Caleb,Garcia-Wideman,37,907-555-9236,41115,Friends,NA,2018,Emma's Creative Workshop,108,9.99,http://images.brickset.com/sets/images/41115-1.jpg,1,494
Caleb,Garcia-Wideman,37,907-555-9236,21127,Minecraft,Minifig-scale,2018,The Fortress,NA,109.99,http://images.brickset.com/sets/images/21127-1.jpg,2,577
Chase,Fortenberry,19,205-555-3704,10801,Duplo,NA,2018,Baby Animals,13,9.99,http://images.brickset.com/sets/images/10801-1.jpg,1,504
Chase,Fortenberry,19,205-555-3704,10809,Duplo,NA,2018,Police Patrol,15,14.99,http://images.brickset.com/sets/images/10809-1.jpg,1,NA
Kevin,Cruz,20,947-555-7946,70335,Nexo Knights,Ultimate,2018,Ultimate Lavaria,69,9.99,http://images.brickset.com/sets/images/70335-1.jpg,2,605
